Date,Close,Open,High,Low,DAXClose,SPClose,DFFR,EURINF,USAINF,GERLTINT,EURLTINT,USACPI,USAUNEMP
4/29/2016,1.1456,1.1354,1.1461,1.1335,10038.96973,2065.3,0.3,-0.3,1.1,0.13,1.13,2.1,5.1
5/2/2016,1.1532,1.1447,1.1539,1.1446,10123.26953,2081.43,0.37,-0.1,1,0.13,1.12,2.2,4.8
5/3/2016,1.1497,1.1533,1.1616,1.1495,9926.769531,2063.37,0.37,-0.1,1,0.13,1.12,2.2,4.8
5/4/2016,1.1487,1.1496,1.153,1.1467,9828.25,2051.12,0.37,-0.1,1,0.13,1.12,2.2,4.8
5/5/2016,1.1405,1.1486,1.1496,1.1385,9851.860352,2050.63,0.37,-0.1,1,0.13,1.12,2.2,4.8
5/6/2016,1.1405,1.1408,1.1479,1.1387,9869.950195,2057.14,0.37,-0.1,1,0.13,1.12,2.2,4.8
5/9/2016,1.1383,1.1401,1.1422,1.1375,9980.490234,2058.69,0.37,-0.1,1,0.13,1.12,2.2,4.8
5/10/2016,1.1372,1.1385,1.1413,1.1361,10045.44043,2084.39,0.37,-0.1,1,0.13,1.12,2.2,4.8
5/11/2016,1.1427,1.1373,1.1448,1.1368,9975.320313,2064.46,0.37,-0.1,1,0.13,1.12,2.2,4.8
5/12/2016,1.1377,1.1426,1.1434,1.1368,9862.120117,2064.11,0.37,-0.1,1,0.13,1.12,2.2,4.8
5/13/2016,1.1308,1.1378,1.1383,1.1284,9952.900391,2046.61,0.37,-0.1,1,0.13,1.12,2.2,4.8
5/16/2016,1.132,1.1311,1.1346,1.1302,9921.545411,2066.66,0.37,-0.1,1,0.13,1.12,2.2,4.8
5/17/2016,1.1314,1.1321,1.135,1.1303,9890.19043,2047.21,0.37,-0.1,1,0.13,1.12,2.2,4.8
5/18/2016,1.1217,1.1313,1.1327,1.1212,9943.230469,2047.63,0.37,-0.1,1,0.13,1.12,2.2,4.8
5/19/2016,1.1203,1.1216,1.123,1.1179,9795.889648,2040.04,0.37,-0.1,1,0.13,1.12,2.2,4.8
5/20/2016,1.1224,1.1204,1.1239,1.1194,9916.019531,2052.32,0.37,-0.1,1,0.13,1.12,2.2,4.8
5/23/2016,1.1219,1.1218,1.1246,1.1187,9842.290039,2048.04,0.37,-0.1,1,0.13,1.12,2.2,4.8
5/24/2016,1.1141,1.1219,1.1228,1.113,10057.30957,2076.06,0.37,-0.1,1,0.13,1.12,2.2,4.8
5/25/2016,1.1155,1.1141,1.1169,1.1128,10205.20996,2090.54,0.37,-0.1,1,0.13,1.12,2.2,4.8
5/26/2016,1.1194,1.1154,1.1218,1.1144,10272.70996,2090.1,0.37,-0.1,1,0.13,1.12,2.2,4.8
5/27/2016,1.1115,1.1193,1.1201,1.1107,10286.30957,2099.06,0.37,-0.1,1,0.13,1.12,2.2,4.8
5/30/2016,1.1147,1.1117,1.1149,1.1098,10333.23047,2098.01,0.37,-0.1,1,0.13,1.12,2.2,4.8
5/31/2016,1.1132,1.1138,1.1176,1.1123,10262.74023,2096.96,0.29,-0.1,1,0.13,1.12,2.2,4.8
6/1/2016,1.1188,1.1133,1.1198,1.1114,10204.44043,2099.33,0.37,0,1,-0.02,1.01,2.2,4.9
6/2/2016,1.1151,1.1189,1.1221,1.1142,10208,2105.26,0.37,0,1,-0.02,1.01,2.2,4.9
6/3/2016,1.1367,1.1152,1.1377,1.1136,10103.25977,2099.13,0.37,0,1,-0.02,1.01,2.2,4.9
6/6/2016,1.1355,1.1353,1.1395,1.1328,10121.08008,2109.41,0.37,0,1,-0.02,1.01,2.2,4.9
6/7/2016,1.1358,1.1355,1.1382,1.1338,10287.67969,2112.13,0.37,0,1,-0.02,1.01,2.2,4.9
6/8/2016,1.1394,1.1358,1.1412,1.1349,10217.03027,2119.12,0.37,0,1,-0.02,1.01,2.2,4.9
6/9/2016,1.1316,1.1399,1.1417,1.1305,10088.87012,2115.48,0.37,0,1,-0.02,1.01,2.2,4.9
6/10/2016,1.1251,1.1317,1.1329,1.1245,9834.620117,2096.07,0.37,0,1,-0.02,1.01,2.2,4.9
6/13/2016,1.1292,1.1253,1.1304,1.1233,9657.44043,2079.06,0.37,0,1,-0.02,1.01,2.2,4.9
6/14/2016,1.1208,1.1293,1.1304,1.1188,9519.200195,2075.32,0.37,0,1,-0.02,1.01,2.2,4.9
6/15/2016,1.1259,1.1205,1.1299,1.119,9606.709961,2071.5,0.37,0,1,-0.02,1.01,2.2,4.9
6/16/2016,1.1226,1.126,1.1298,1.1132,9550.469727,2077.99,0.38,0,1,-0.02,1.01,2.2,4.9
6/17/2016,1.1277,1.1226,1.1299,1.1221,9631.360352,2071.22,0.38,0,1,-0.02,1.01,2.2,4.9
6/20/2016,1.1314,1.1285,1.1386,1.1284,9962.019531,2083.25,0.38,0,1,-0.02,1.01,2.2,4.9
6/21/2016,1.1242,1.1312,1.1351,1.1241,10015.54004,2088.9,0.38,0,1,-0.02,1.01,2.2,4.9
6/22/2016,1.1297,1.1242,1.1339,1.1236,10071.05957,2085.45,0.38,0,1,-0.02,1.01,2.2,4.9
6/23/2016,1.1389,1.1298,1.1424,1.1296,10257.03027,2113.32,0.39,0,1,-0.02,1.01,2.2,4.9
6/24/2016,1.1117,1.1392,1.1434,1.0911,9557.160156,2037.41,0.4,0,1,-0.02,1.01,2.2,4.9
6/27/2016,1.1026,1.1072,1.1087,1.0972,9268.660156,2000.54,0.41,0,1,-0.02,1.01,2.2,4.9
6/28/2016,1.1067,1.1025,1.1111,1.1008,9447.280273,2036.09,0.41,0,1,-0.02,1.01,2.2,4.9
6/29/2016,1.1125,1.1065,1.1131,1.1048,9612.269531,2070.77,0.41,0,1,-0.02,1.01,2.2,4.9
6/30/2016,1.1105,1.1124,1.1157,1.1023,9680.089844,2098.86,0.3,0,1,-0.02,1.01,2.2,4.9
7/1/2016,1.1136,1.1104,1.1169,1.107,9776.120117,2102.95,0.41,0.2,0.8,-0.15,0.78,2.2,4.8
7/4/2016,1.1156,1.1142,1.1166,1.1097,9709.089844,2095.75,0.41,0.2,0.8,-0.15,0.78,2.2,4.8
7/5/2016,1.1076,1.1154,1.1184,1.1059,9532.610352,2088.55,0.4,0.2,0.8,-0.15,0.78,2.2,4.8
7/6/2016,1.1099,1.1075,1.1111,1.1029,9373.259766,2099.73,0.4,0.2,0.8,-0.15,0.78,2.2,4.8
7/7/2016,1.1063,1.1101,1.1113,1.1053,9418.780273,2097.9,0.4,0.2,0.8,-0.15,0.78,2.2,4.8
